Full Name,Age,City,Are you currently a student ?,What is your highest/current education level ?,Are you currently employed ?,"If Yes, what is your monthly income ?",Do you use UPI ?,"If yes, how many UPI transactions do you make in a week?",What is your average monthly spending ?,Do you pay rent ?,"If yes, how much you pay monthly ?",How do you pay your rent ?,"Do you pay bills (electricity, mobile, internet) on time?",How much do you spend on mobile recharges monthly?,How many subscriptions do you pay for?,List your paid subscriptions,How often are you unable to pay subscriptions on time?,What phone type do you use?,Phone brand and model ?,How many hours/day do you use your phone?,Do you actively save a portion of your income?,"If yes, how much do you save per month","If you save money, where do you keep your savings ?",Do you use savings tracking applications ?,Which financial apps do you use regularly?,"Do you have any active EMIs or loans (student loan, mobile EMI, etc.)?","If yes, total EMI amount paid per month?","Have you ever used Buy Now Pay Later (BNPL) services (ZestMoney, LazyPay, Simpl)?",Do you have a financial goal you're saving for?,"If yes, what is the goal?",How soon do you aim to achieve this goal (months)?,Do you have an emergency fund that can cover 3+ months of expenses?,"If faced with an emergency, how would you manage funds?",Do you invest in crypto ?,Do you invest in any of the following ?,Do you participate in charity donations or volunteering?,How long have you been living at your current address (months) ?,How long have you been at your current job/college (months)?
Rushil Kanda,22,Agra,Yes,PostGraduate,No,0,Yes,30,4500,No,0,,Always,499,3,"Others, Streaming, Social Media",Sometimes,Budget,Samsung M51,10,Yes,2500,Bank,Yes,"Others, Jar, Groww",No,0,Yes,Yes,Gadget,24.0,Yes,Savings,Yes,"PPF, Mutual Funds, Stocks",Yes,60,44
Advik Batta,24,Srikakulam,Yes,PostGraduate,Yes,58000,Yes,23,48000,Yes,8000,UPI,Always,299,0,,Never,Mid-Range,Moto G30,5,Yes,15000,Bank,Yes,CoinSwitch,No,0,Yes,Yes,Gadget,4.0,No,Friends,No,Stocks,No,30,39
Bhavani Luthra,19,Kanpur,Yes,UnderGraduate,Yes,22000,Yes,16,24000,No,0,,Always,399,1,Educational,Never,Mid-Range,Redmi Note 11,7,No,0,,Yes,"Upstox, CoinSwitch",No,0,Yes,Yes,Gadget,7.0,No,Savings,No,,Yes,40,41
Tripti Apte,24,Dehradun,Yes,UnderGraduate,No,0,Yes,32,5500,Yes,8500,Cash,Always,299,0,,Never,Budget,Realme Narzo 30,4,No,0,,Yes,PhonePe,Yes,7000,No,Yes,Gadget,24.0,Yes,Savings,No,,No,27,5
Radha Golla,25,Meerut,Yes,PostGraduate,Yes,47000,Yes,32,37500,Yes,6000,Bank Transfer,Always,199,1,Social Media,Sometimes,Budget,Poco F4,9,Yes,9500,Investment Products,No,Groww,No,0,No,No,,,No,Savings,No,Fixed Deposits,No,37,12
Jagrati Borde,19,Meerut,Yes,UnderGraduate,Yes,33000,No,0,31500,No,0,,Never,399,1,Educational,Never,Mid-Range,Samsung M14 5G,5,No,0,,No,Fi,No,0,No,Yes,Travel,18.0,No,Credit Card,No,,No,43,28
Brinda Bedi,21,Meerut,Yes,UnderGraduate,Yes,14000,Yes,31,11000,Yes,11000,UPI,Sometimes,299,1,Streaming,Sometimes,Mid-Range,Moto G14,8,Yes,3500,Bank,Yes,Fi,No,0,Yes,Yes,Travel,7.0,No,BNPL,No,"Other, Mutual Funds",No,50,46
Ayaan Wali,21,Agra,Yes,UnderGraduate,Yes,40000,Yes,29,32500,Yes,5000,UPI,Always,499,0,,Never,Mid-Range,Realme Narzo 30,9,Yes,9000,Bank,No,"GPay, CoinSwitch",No,0,No,Yes,Travel,20.0,No,Friends,No,,No,59,32
Januja Shukla,21,Patna,Yes,UnderGraduate,Yes,15000,Yes,24,13000,No,0,,Sometimes,399,2,"Music, Educational",Sometimes,Mid-Range,Moto G82,6,Yes,2000,Investment Products,No,"Others, Paytm",No,0,No,No,,,Yes,Savings,Yes,"Fixed Deposits, Other, Stocks",Yes,7,16
Chasmum Sura,19,Visakhapatnam,Yes,UnderGraduate,Yes,28000,Yes,10,26500,No,0,,Always,299,1,Educational,Never,Budget,Redmi Note 10 Pro,5,No,0,,Yes,"GPay, Fi, Others",No,0,No,Yes,Travel,20.0,Yes,Savings,No,PPF,No,34,47
Falguni Lata,18,Srikakulam,Yes,UnderGraduate,Yes,58000,Yes,13,43500,No,0,,Sometimes,599,0,,Never,Mid-Range,Samsung A13,3,Yes,16500,Cash,No,,No,0,Yes,Yes,Travel,14.0,Yes,Savings,No,,Yes,35,45
Umang Memon,22,Gwalior,Yes,PostGraduate,No,0,No,0,3500,Yes,7500,UPI,Always,499,2,"Social Media, Music",Never,Budget,Redmi Note 10,6,No,0,,Yes,"PhonePe, Others",No,0,No,No,,,Yes,Savings,No,Stocks,Yes,33,14
Dayamai Nair,23,Hyderabad,Yes,PostGraduate,Yes,12000,Yes,27,8000,No,0,,Always,399,1,Music,Sometimes,Flag-Ship,Samsung A23,7,Yes,4000,Cash,No,Fi,Yes,1500,No,Yes,Other,8.0,Yes,Savings,No,,Yes,15,21
Nathaniel Khurana,23,Nagpur,Yes,UnderGraduate,Yes,25000,Yes,26,24500,Yes,12500,Bank Transfer,Always,299,1,Streaming,Never,Mid-Range,Samsung M12,3,No,0,,Yes,"CoinSwitch, Others",No,0,No,Yes,Travel,14.0,No,Friends,No,Fixed Deposits,No,26,27
Anusha Buch,18,Amritsar,Yes,UnderGraduate,No,0,Yes,29,6000,No,0,,Sometimes,399,1,Educational,Sometimes,Mid-Range,Moto Edge 20,7,No,0,,Yes,"PhonePe, CoinSwitch, Others, Jar",Yes,5500,No,No,,,No,Friends,No,"Other, Stocks",No,29,48
Ekani Mitra,22,Nashik,Yes,UnderGraduate,Yes,25000,Yes,21,20500,Yes,13500,UPI,Sometimes,399,0,,Never,Budget,Samsung A13,5,Yes,5000,Bank,No,CoinSwitch,Yes,2000,No,No,,,Yes,Savings,No,Other,No,37,35
Avni Rai,20,Indore,Yes,UnderGraduate,No,0,Yes,26,4000,No,0,,Sometimes,249,3,"Music, Streaming, Educational",Sometimes,Flag-Ship,Moto G14,8,No,0,,No,"PhonePe, Others, Fi, Upstox",No,0,No,Yes,Travel,15.0,Yes,Savings,No,,No,57,45
Devansh Bawa,23,Shimla,Yes,UnderGraduate,Yes,34000,Yes,19,25500,Yes,12500,UPI,Always,499,2,"Social Media, Others",Sometimes,Mid-Range,Samsung A52,7,Yes,9000,Bank,Yes,Groww,Yes,3000,No,Yes,Vehicles,16.0,Yes,Savings,No,"Mutual Funds, Stocks, Other",Yes,45,41
Naksh Gala,24,Pune,Yes,PostGraduate,Yes,15000,Yes,34,15500,No,0,,Always,299,1,Streaming,Never,Mid-Range,Samsung M32,9,No,0,,Yes,"CoinSwitch, Fi, GPay",No,0,Yes,No,,,Yes,Savings,Yes,PPF,No,17,23
Matthew Barad,24,Agra,Yes,PostGraduate,Yes,15000,Yes,19,11500,No,0,,Always,399,2,"Educational, Music",Never,Flag-Ship,Samsung M51,4,Yes,3500,Bank,Yes,"Upstox, CoinSwitch, Others",No,0,No,No,,,Yes,Savings,No,Other,Yes,24,23
Oni Vasa,24,Bhopal,Yes,UnderGraduate,Yes,42000,Yes,18,39000,No,0,,Always,299,1,Others,Never,Flag-Ship,Poco X3 Pro,7,Yes,5500,Bank,Yes,"Groww, Fi, Others",No,0,Yes,Yes,Gadget,13.0,Yes,Savings,No,,Yes,48,26
Nachiket Kadakia,18,Godda,Yes,UnderGraduate,Yes,27000,Yes,35,23500,Yes,14000,UPI,Always,399,3,"Social Media, Others, Streaming",Sometimes,Mid-Range,Samsung M12,4,Yes,5500,Bank,No,"Others, CoinSwitch, Upstox, Groww",Yes,7500,No,Yes,Other,5.0,Yes,Savings,No,,Yes,24,15
Azad Bhandari,24,Dehradun,Yes,PostGraduate,Yes,37000,Yes,32,28000,Yes,9500,UPI,Always,499,0,,Never,Flag-Ship,Redmi Note 10 Pro,3,Yes,9500,Wallet Apps,No,,No,0,No,Yes,Vehicles,12.0,Yes,Savings,No,,No,6,14
Forum Choudhury,21,Ahmedabad,Yes,UnderGraduate,Yes,16000,No,0,10500,Yes,13500,Bank Transfer,Sometimes,399,1,Others,Never,Mid-Range,Realme Narzo 60 Pro,4,Yes,5500,Bank,Yes,"Groww, Paytm",No,0,No,Yes,Travel,4.0,No,Other,No,"Mutual Funds, PPF",Yes,58,36
Bhavika Nadig,21,Hyderabad,Yes,UnderGraduate,Yes,17000,Yes,22,16000,No,0,,Always,299,2,"Social Media, Others",Never,Budget,Realme GT 2 Pro,8,No,0,,No,"CoinSwitch, GPay, PhonePe, Others",No,0,No,Yes,Other,3.0,Yes,Savings,No,Other,Yes,38,22
Hitesh Madan,20,Delhi,Yes,UnderGraduate,Yes,39000,Yes,31,39000,Yes,9000,Cash,Sometimes,299,0,,Never,Budget,Samsung A52,5,No,0,,Yes,Groww,No,0,Yes,Yes,Travel,9.0,Yes,Savings,No,,No,49,35
Nidra Sha,25,Mumbai,Yes,PostGraduate,Yes,29000,Yes,12,27000,No,0,,Always,249,1,Social Media,Sometimes,Mid-Range,Moto G30,9,Yes,3500,Bank,Yes,,Yes,2000,Yes,No,,,No,Credit Card,No,Mutual Funds,No,27,4
Theodore Dua,20,Vijayawada,Yes,UnderGraduate,No,0,Yes,13,7500,Yes,14000,Bank Transfer,Always,299,0,,Never,Budget,Realme GT 2 Pro,4,No,0,,Yes,"Jar, Upstox, CoinSwitch, GPay",No,0,No,No,,,No,Friends,No,"Other, PPF",No,23,31
Yochana Acharya,18,Shimla,Yes,UnderGraduate,Yes,13000,Yes,25,12000,No,0,,Never,399,1,Streaming,Always,Budget,Realme Narzo 30,7,Yes,1500,Investment Products,Yes,,No,0,No,No,,,No,Credit Card,No,"Mutual Funds, PPF",Yes,60,45
Yamini Kanda,22,Nashik,Yes,UnderGraduate,Yes,12000,Yes,35,7500,Yes,12000,UPI,Always,299,0,,Never,Mid-Range,Moto G60,10,Yes,3500,Bank,No,,No,0,Yes,Yes,Vehicles,4.0,Yes,Savings,No,Fixed Deposits,No,20,20
Harinakshi Dhar,24,Ajmer,Yes,UnderGraduate,Yes,38000,Yes,12,28500,No,0,,Always,499,0,,Never,Mid-Range,Poco F5,5,Yes,13000,Cash,Yes,"PhonePe, Others",No,0,No,Yes,Travel,4.0,Yes,Savings,No,"Mutual Funds, Fixed Deposits",No,37,3
Osha Natarajan,24,Lucknow,Yes,UnderGraduate,Yes,15000,Yes,34,14000,No,0,,Always,399,3,"Educational, Music, Social Media",Sometimes,Budget,Samsung M51,10,Yes,1500,Bank,No,"Jar, Groww",Yes,1500,Yes,No,,,No,Credit Card,No,Other,No,10,45
Pahal Kapur,18,Warangal,Yes,UnderGraduate,Yes,18000,Yes,35,15000,Yes,6500,UPI,Sometimes,399,0,,Never,Mid-Range,Moto G60,10,Yes,2500,Cash,No,"Upstox, Paytm",No,0,No,Yes,Travel,8.0,Yes,Savings,No,Fixed Deposits,Yes,57,48
Udyati Gill,24,Vijayawada,Yes,PostGraduate,Yes,79000,Yes,24,81500,No,0,,Sometimes,399,1,Educational,Never,Flag-Ship,Samsung M51,8,No,0,,Yes,"Upstox, Jar, Others",No,0,No,Yes,Gadget,19.0,No,Credit Card,No,"PPF, Stocks, Other",Yes,53,12
Urmi Mitter,25,Kolkata,Yes,PostGraduate,Yes,24000,Yes,12,19500,Yes,12500,UPI,Always,199,1,Educational,Never,Mid-Range,Redmi Note 13,4,Yes,5500,Investment Products,Yes,"Groww, Fi, GPay",No,0,No,No,,,No,Credit Card,No,"Mutual Funds, Stocks",No,15,36
Gaurang Sampath,20,Bhopal,Yes,UnderGraduate,Yes,16000,Yes,13,14500,Yes,9500,UPI,Always,399,0,,Never,Mid-Range,Redmi Note 13,4,Yes,2000,Bank,No,"Groww, Jar, Others",No,0,No,Yes,Travel,21.0,Yes,Savings,No,,No,38,9
Ansh Singh,18,Mangalore,Yes,UnderGraduate,Yes,19000,Yes,12,16500,Yes,4000,UPI,Always,249,0,,Never,Budget,Moto G30,3,Yes,3500,Investment Products,Yes,"CoinSwitch, Jar, GPay",No,0,No,Yes,Travel,15.0,Yes,Savings,No,,No,31,19
Aachal Bath,21,Noida,Yes,UnderGraduate,Yes,73000,Yes,19,57000,Yes,11000,Bank Transfer,Always,599,0,,Never,Mid-Range,Moto G100,10,Yes,19000,Bank,No,"CoinSwitch, Others",No,0,No,Yes,Vehicles,20.0,Yes,Savings,No,,Yes,18,8
Siddharth Rao,25,Chandigarh,Yes,PostGraduate,No,0,Yes,21,6500,Yes,5500,Bank Transfer,Always,599,3,"Music, Social Media, Educational",Sometimes,Mid-Range,Poco M6 Pro,6,No,0,,Yes,"Groww, Paytm, Others",No,0,No,No,,,No,Friends,No,Fixed Deposits,No,47,14
Bishakha Arya,23,Faridabad,Yes,PostGraduate,Yes,22000,Yes,33,16500,Yes,8000,UPI,Always,199,1,Streaming,Sometimes,Mid-Range,Moto G14,4,Yes,4500,Wallet Apps,Yes,"GPay, CoinSwitch, Fi",No,0,No,Yes,Travel,16.0,Yes,Savings,No,Mutual Funds,No,38,12
Tanay Brahmbhatt,25,Meerut,Yes,PostGraduate,No,0,Yes,31,6500,Yes,14500,Others,Sometimes,399,1,Streaming,Sometimes,Mid-Range,Redmi 10 Prime,3,No,0,,Yes,"CoinSwitch, Others",Yes,3000,No,Yes,Travel,22.0,Yes,Savings,No,,No,10,17
Forum Chadha,19,Jaipur,Yes,UnderGraduate,Yes,45000,Yes,13,42500,Yes,9000,UPI,Always,499,0,,Never,Mid-Range,Poco X4 GT,6,Yes,6500,Bank,Yes,CoinSwitch,Yes,7500,No,No,,,Yes,Savings,No,Fixed Deposits,No,60,22
Hritik Khosla,19,Mangalore,Yes,UnderGraduate,Yes,18000,Yes,19,16000,No,0,,Always,499,0,,Never,Mid-Range,Realme Narzo 60 Pro,4,Yes,2500,Bank,No,"Upstox, GPay, PhonePe",No,0,Yes,Yes,Other,7.0,Yes,Savings,No,"Stocks, Mutual Funds",No,50,13
Abdul Nagar,24,Jamshedpur,Yes,PostGraduate,Yes,27000,Yes,33,24500,No,0,,Always,499,2,"Music, Social Media",Never,Mid-Range,Realme 9 Pro,5,Yes,4000,Bank,No,"Fi, Upstox",No,0,Yes,Yes,Travel,6.0,No,Savings,Yes,"PPF, Fixed Deposits",No,9,25
Farhan Morar,23,Srikakulam,Yes,UnderGraduate,Yes,27000,Yes,27,27000,Yes,6000,UPI,Always,399,2,"Others, Streaming",Never,Mid-Range,Samsung M51,6,No,0,,No,"Groww, Jar",No,0,Yes,Yes,Travel,7.0,No,Credit Card,No,"Mutual Funds, Stocks, Other",No,55,23
Riya Bedi,24,Godda,Yes,UnderGraduate,Yes,45000,Yes,26,31000,No,0,,Always,499,2,"Educational, Music",Never,Mid-Range,Poco X3 Pro,4,Yes,15500,Cash,Yes,"GPay, Groww",No,0,No,No,,,No,Friends,No,,Yes,27,19
Aryan Ganguly,20,Vijayawada,Yes,UnderGraduate,Yes,67000,No,0,45000,Yes,13000,UPI,Always,499,2,"Social Media, Others",Never,Mid-Range,Poco X4 GT,6,Yes,20000,Investment Products,Yes,CoinSwitch,No,0,Yes,Yes,Travel,23.0,No,Friends,No,"PPF, Stocks",Yes,12,35
Harish Morar,23,Srikakulam,Yes,PostGraduate,Yes,37000,Yes,20,24000,No,0,,Always,399,2,"Streaming, Educational",Never,Budget,Redmi Note 11,5,Yes,13000,Bank,No,"Others, Fi",No,0,No,Yes,Travel,9.0,Yes,Savings,No,Fixed Deposits,No,24,40
Vedant Issac,22,Bhopal,Yes,UnderGraduate,Yes,27000,Yes,21,17000,Yes,13500,UPI,Always,399,1,Others,Never,Mid-Range,Realme Narzo 60 Pro,7,Yes,8500,Bank,Yes,"Upstox, Others",No,0,Yes,Yes,Travel,8.0,Yes,Savings,No,,No,41,26
Xiti Gole,18,Godda,Yes,UnderGraduate,Yes,40000,No,0,34000,No,0,,Always,249,2,"Others, Music",Sometimes,Budget,Moto G82,10,Yes,8000,Bank,Yes,"Others, Fi",No,0,No,Yes,Gadget,6.0,Yes,Savings,No,Stocks,Yes,53,26
Anmol Chandran,24,Gwalior,Yes,UnderGraduate,Yes,37000,Yes,18,39500,No,0,,Sometimes,199,2,"Others, Streaming",Sometimes,Flag-Ship,Redmi Note 13,3,No,0,,Yes,"Upstox, PhonePe, Fi",Yes,2000,No,No,,,No,Credit Card,Yes,Other,Yes,33,40
Dominic Dixit,21,Meerut,Yes,UnderGraduate,Yes,33000,Yes,14,30500,No,0,,Always,399,1,Music,Never,Mid-Range,Poco M4 Pro,4,Yes,3500,Bank,No,"Groww, Jar",No,0,No,Yes,Vehicles,4.0,Yes,Savings,Yes,Mutual Funds,Yes,43,7
Rehaan Tella,20,Jamshedpur,Yes,UnderGraduate,Yes,29000,Yes,32,21500,No,0,,Always,399,1,Social Media,Never,Mid-Range,Poco M3 Pro,4,Yes,6000,Investment Products,Yes,"Fi, PhonePe",No,0,No,No,,,Yes,Savings,No,Mutual Funds,Yes,12,47
Kamya Chaudry,22,Jamshedpur,Yes,UnderGraduate,Yes,19000,Yes,25,14500,No,0,,Always,299,0,,Never,Budget,Redmi Note 10,8,Yes,5000,Bank,No,"Paytm, Jar",No,0,Yes,Yes,Emergency Fund,9.0,Yes,Savings,No,Stocks,No,58,45
Chasmum Sem,24,Jodhpur,Yes,PostGraduate,Yes,14000,Yes,21,10500,No,0,,Always,299,1,Streaming,Never,Budget,Poco M4 Pro,6,Yes,4500,Investment Products,Yes,,Yes,5000,No,Yes,Vehicles,18.0,Yes,Savings,No,PPF,No,24,20
Ekaraj Mistry,20,Thiruvananthapuram,Yes,UnderGraduate,No,0,Yes,31,8000,Yes,4000,UPI,Always,599,1,Others,Sometimes,Mid-Range,Samsung A23,4,No,0,,Yes,"Groww, PhonePe, GPay",No,0,No,Yes,Gadget,10.0,Yes,Savings,Yes,"Fixed Deposits, PPF, Stocks",Yes,52,3
Alexander Malhotra,25,Shimla,Yes,PostGraduate,Yes,18000,Yes,18,13000,No,0,,Sometimes,299,0,,Never,Mid-Range,Poco X4 GT,8,Yes,6000,Bank,No,"Upstox, GPay",No,0,No,No,,,No,Friends,No,,No,21,35
Vasatika Biswas,24,Faridabad,Yes,UnderGraduate,Yes,45000,Yes,26,43500,Yes,13000,Others,Always,399,1,Others,Never,Budget,Redmi Note 13,4,Yes,4500,Bank,Yes,"Others, GPay",No,0,No,No,,,Yes,Savings,No,"Fixed Deposits, Mutual Funds",No,60,29
Ishwar Dixit,22,Jamshedpur,Yes,PostGraduate,No,0,No,0,3000,Yes,10000,Bank Transfer,Always,299,0,,Never,Budget,Poco F5,6,Yes,2000,Cash,Yes,"GPay, Paytm, PhonePe",Yes,5500,No,Yes,Travel,8.0,No,Credit Card,No,Stocks,No,23,9
Omaja Bhatti,18,Kochi,Yes,UnderGraduate,Yes,64000,Yes,19,51000,Yes,12000,Bank Transfer,Always,399,3,"Music, Social Media, Educational",Never,Mid-Range,Moto G14,7,Yes,17000,Bank,No,GPay,No,0,No,Yes,Gadget,6.0,No,Friends,Yes,,No,43,20
Ishanvi Tella,25,Salem,Yes,PostGraduate,No,0,Yes,24,5000,Yes,9500,Bank Transfer,Always,249,0,,Never,Mid-Range,Samsung M21,9,No,0,,Yes,"Fi, Paytm, CoinSwitch",Yes,4000,No,No,,,No,Credit Card,No,Stocks,No,27,19
Nikita Tailor,20,Faridabad,Yes,UnderGraduate,Yes,76000,Yes,27,75000,Yes,11000,Cash,Always,249,3,"Social Media, Music, Educational",Never,Budget,Poco X3 Pro,5,No,0,,Yes,"Others, Jar, Upstox, CoinSwitch",No,0,No,Yes,Gadget,4.0,Yes,Savings,No,Fixed Deposits,No,8,47
Tripti Dugar,24,Ludhiana,Yes,PostGraduate,No,0,Yes,18,6500,No,0,,Always,399,0,,Never,Mid-Range,Redmi Note 10 Pro,5,No,0,,No,CoinSwitch,No,0,No,No,,,Yes,Savings,No,,Yes,17,14
Megha Rajagopalan,24,Bhubaneswar,Yes,PostGraduate,No,0,Yes,28,8500,Yes,12000,UPI,Always,499,0,,Never,Mid-Range,Redmi Note 14 Pro,9,No,0,,Yes,"PhonePe, Jar",No,0,Yes,Yes,Travel,16.0,Yes,Savings,Yes,Fixed Deposits,Yes,54,10
Eiravati Chaudhry,18,Nagpur,Yes,UnderGraduate,No,0,Yes,33,4500,No,0,,Always,299,0,,Never,Flag-Ship,Poco F1,9,No,0,,Yes,"GPay, Paytm, Groww",Yes,5500,No,No,,,No,Savings,No,"Mutual Funds, Fixed Deposits",No,8,46
Caleb Garg,22,Ahmedabad,Yes,PostGraduate,No,0,Yes,32,7000,Yes,7000,Cash,Always,499,2,"Music, Social Media",Sometimes,Mid-Range,Moto G30,7,No,0,,Yes,,No,0,No,No,,,Yes,Savings,No,Stocks,No,35,25
Krisha Borah,24,Mumbai,Yes,UnderGraduate,Yes,30000,Yes,17,27500,Yes,15000,UPI,Always,249,2,"Others, Music",Never,Mid-Range,Moto G100,4,Yes,4000,Bank,No,"GPay, Others",No,0,No,No,,,No,Credit Card,No,,No,21,47
Chandran Pau,19,Warangal,Yes,UnderGraduate,No,0,No,0,2500,No,0,,Never,599,3,"Streaming, Social Media, Educational",Sometimes,Mid-Range,Redmi Note 12 Pro,6,No,0,,No,"CoinSwitch, Upstox",No,0,No,Yes,Travel,22.0,Yes,Savings,No,"Fixed Deposits, Mutual Funds",Yes,17,7
Idika Dar,21,Jamshedpur,Yes,UnderGraduate,Yes,22000,Yes,11,17500,Yes,9500,Cash,Always,299,2,"Music, Streaming",Never,Budget,Moto G60,3,Yes,3500,Cash,Yes,,No,0,No,No,,,Yes,Savings,No,PPF,No,50,18
Sanaya Chandra,22,Warangal,Yes,UnderGraduate,No,0,Yes,29,7000,Yes,6000,UPI,Always,499,1,Streaming,Sometimes,Budget,Realme Narzo 70,6,No,0,,No,Groww,No,0,No,Yes,Travel,23.0,Yes,Savings,No,"Other, Fixed Deposits",No,14,4
Lajita Nagy,24,Surat,Yes,PostGraduate,Yes,28000,Yes,25,25500,No,0,,Never,399,3,"Streaming, Social Media, Educational",Sometimes,Mid-Range,Samsung M14 5G,3,Yes,4000,Bank,No,"Groww, Paytm, GPay, Jar",No,0,No,Yes,Travel,4.0,Yes,Savings,Yes,"Stocks, Fixed Deposits, Other",No,31,9
Anya Ratta,21,Thiruvananthapuram,Yes,UnderGraduate,Yes,16000,Yes,34,11500,Yes,14000,Bank Transfer,Always,299,2,"Educational, Streaming",Never,Mid-Range,Samsung M32,8,Yes,4500,Wallet Apps,Yes,CoinSwitch,Yes,4500,Yes,Yes,Vehicles,5.0,Yes,Savings,No,Other,No,34,39
Divya Prashad,21,Delhi,Yes,UnderGraduate,Yes,44000,Yes,14,35000,Yes,12500,Others,Always,199,2,"Social Media, Educational",Sometimes,Flag-Ship,Poco M3 Pro,5,Yes,8000,Bank,Yes,"PhonePe, Groww, Fi",No,0,No,Yes,Other,20.0,Yes,Savings,No,,Yes,34,35
Amol Wable,23,Hubli,Yes,PostGraduate,Yes,54000,Yes,29,48000,Yes,14000,Cash,Always,399,2,"Streaming, Others",Never,Mid-Range,Moto Edge 40,10,Yes,7500,Cash,Yes,CoinSwitch,No,0,No,Yes,Gadget,3.0,No,BNPL,No,,Yes,55,43
Sarthak Narain,19,Jamshedpur,Yes,UnderGraduate,Yes,28000,No,0,25500,Yes,4000,UPI,Sometimes,499,3,"Others, Educational, Music",Never,Mid-Range,Poco M6 Pro,10,Yes,4500,Bank,Yes,"Others, Paytm",No,0,No,No,,,No,Friends,Yes,"Stocks, PPF",No,31,16
Rachana Sinha,25,Tiruchirappalli,Yes,PostGraduate,No,0,Yes,35,3000,No,0,,Always,599,0,,Never,Mid-Range,Redmi Note 10,8,No,0,,Yes,"Others, Paytm, Groww, PhonePe",No,0,No,No,,,Yes,Savings,Yes,"Other, Mutual Funds",No,36,43
Osha Sankar,25,Mysuru,Yes,PostGraduate,Yes,31000,Yes,26,24500,Yes,14000,Bank Transfer,Always,399,0,,Never,Mid-Range,Poco F1,3,Yes,7000,Bank,Yes,Fi,No,0,No,No,,,Yes,Savings,No,"Other, Stocks, Fixed Deposits",Yes,29,42
Damyanti Sagar,18,Raipur,Yes,UnderGraduate,Yes,36000,Yes,22,36000,Yes,11500,UPI,Never,249,0,,Never,Budget,Realme 9 Pro,5,No,0,,Yes,,Yes,6500,No,Yes,Other,17.0,Yes,Savings,Yes,Other,Yes,48,12
Gabriel Oommen,23,Guwahati,Yes,PostGraduate,Yes,49000,Yes,16,37500,No,0,,Sometimes,499,1,Social Media,Always,Budget,Redmi 9,6,Yes,12500,Bank,No,Fi,No,0,No,Yes,Gadget,4.0,Yes,Savings,Yes,"Mutual Funds, Stocks, Fixed Deposits",Yes,55,39
Nandini Kalita,23,Mumbai,Yes,PostGraduate,No,0,Yes,30,7000,No,0,,Always,499,3,"Streaming, Others, Social Media",Never,Mid-Range,Realme Narzo N55,7,No,0,,Yes,CoinSwitch,No,0,Yes,Yes,Vehicles,18.0,Yes,Savings,No,"Fixed Deposits, Stocks, Other",No,27,24
Harrison Bera,21,Indore,Yes,UnderGraduate,Yes,45000,Yes,33,41000,No,0,,Always,199,1,Social Media,Never,Mid-Range,Samsung M53,3,Yes,7000,Bank,Yes,"Fi, Paytm, Upstox, PhonePe",No,0,No,Yes,Gadget,11.0,Yes,Savings,No,,No,44,28
Aarav Gupta,18,Bhubaneswar,Yes,UnderGraduate,Yes,18000,Yes,13,15000,No,0,,Always,399,3,"Streaming, Others, Social Media",Never,Mid-Range,Samsung A23,4,Yes,4000,Bank,Yes,"Jar, Others",No,0,Yes,Yes,Travel,16.0,Yes,Savings,No,PPF,Yes,10,29
Chaman Jaggi,24,Gwalior,Yes,PostGraduate,No,0,Yes,33,6000,No,0,,Sometimes,399,3,"Educational, Music, Others",Never,Mid-Range,Moto G40 Fusion,4,No,0,,Yes,"PhonePe, GPay",No,0,No,Yes,Vehicles,19.0,Yes,Savings,No,"Mutual Funds, PPF, Fixed Deposits",No,6,14
Hitesh Chawla,24,Kochi,Yes,UnderGraduate,Yes,58000,Yes,32,56500,No,0,,Always,249,1,Educational,Sometimes,Budget,Samsung M12,5,No,0,,No,"CoinSwitch, Upstox",No,0,No,Yes,Travel,14.0,No,Credit Card,No,,No,25,25
Madhav Sundaram,25,Faridabad,Yes,PostGraduate,Yes,19000,Yes,25,15000,Yes,6500,Bank Transfer,Sometimes,599,1,Social Media,Always,Mid-Range,Redmi 9,5,Yes,3000,Bank,No,"Groww, Jar",No,0,No,Yes,Travel,8.0,Yes,Savings,No,PPF,No,38,47
Jacob Aggarwal,18,Ranchi,Yes,UnderGraduate,No,0,No,0,3000,No,0,,Sometimes,299,0,,Never,Mid-Range,Poco M4 Pro,6,No,0,,Yes,"Others, PhonePe, Upstox",Yes,2500,No,Yes,Gadget,18.0,Yes,Savings,No,Stocks,Yes,41,32
Isaiah Goswami,20,Shimla,Yes,UnderGraduate,Yes,19000,Yes,35,16500,Yes,13000,UPI,Always,499,0,,Never,Budget,Poco X5 Pro,9,Yes,3000,Cash,No,"Groww, CoinSwitch, Upstox",No,0,No,No,,,Yes,Savings,No,"Stocks, Other",Yes,51,8
Bhavya Pall,20,Amritsar,Yes,UnderGraduate,No,0,No,0,5000,Yes,5500,UPI,Always,249,0,,Never,Budget,Poco M6 Pro,7,No,0,,No,"Others, GPay, Jar",No,0,No,Yes,Emergency Fund,13.0,Yes,Savings,No,,Yes,18,45
Ansh Lall,23,Tiruchirappalli,Yes,PostGraduate,No,0,Yes,21,2000,Yes,6000,Bank Transfer,Sometimes,299,0,,Never,Mid-Range,Samsung M12,8,No,0,,Yes,"Paytm, GPay",Yes,8500,No,No,,,No,Friends,No,,No,32,43
